,demographic,granular_audience,target_month,frame_id,datetimefrom,datetimeuntil,population,impacts,impacts_pedestrian,impacts_vehicular,rag_status
0,All Adults 15+ (1),All Adults (1),8,1234933116,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0073393901,0.000154886,0.0071845041,red
0,All Adults 15+ (1),All Adults (1),8,1234928948,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0146473089,0.0146473089,0.0,red
0,All Adults 15+ (1),All Adults (1),8,1234930344,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0,0.0,0.0,red
0,All Adults 15+ (1),All Adults (1),8,1234853795,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0,0.0,0.0,red
0,All Adults 15+ (1),All Adults (1),8,1234859063,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0078621776,0.0008750148,0.0069871628,red
0,All Adults 15+ (1),All Adults (1),8,1234933077,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0016728538,0.0016728538,0.0,red
0,All Adults 15+ (1),All Adults (1),8,2000191932,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0856704454,0.0023811129,0.0832893325,red
0,All Adults 15+ (1),All Adults (1),8,1234931672,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0713049479,0.005105408,0.0661995399,red
0,All Adults 15+ (1),All Adults (1),8,1234932982,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0266805325,0.0005102187,0.0261703138,red
0,All Adults 15+ (1),All Adults (1),8,1234723829,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0,0.0,0.0,red
0,All Adults 15+ (1),All Adults (1),8,2000212629,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0062516085,0.0008977397,0.0053538688,red
0,All Adults 15+ (1),All Adults (1),8,1234931919,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0082441435,0.0014562336,0.00678791,red
0,All Adults 15+ (1),All Adults (1),8,2000204222,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0030333738,0.000544005,0.0024893688,red
0,All Adults 15+ (1),All Adults (1),8,2000215273,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0027532291,0.0002443097,0.0025089194,red
0,All Adults 15+ (1),All Adults (1),8,2000188399,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0049035615,0.0002778508,0.0046257107,red
0,All Adults 15+ (1),All Adults (1),8,2000118763,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0042062221,0.0007100472,0.0034961749,red
0,All Adults 15+ (1),All Adults (1),8,1235462365,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0076395971,0.0011991055,0.0064404915,red
0,All Adults 15+ (1),All Adults (1),8,1234591199,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0242353237,0.0242353237,0.0,red
0,All Adults 15+ (1),All Adults (1),8,1234852287,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0005230822,0.0004425107,8.05715e-05,red
0,All Adults 15+ (1),All Adults (1),8,1234594037,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0109336765,0.0109336765,0.0,red
0,All Adults 15+ (1),All Adults (1),8,1234930738,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0,0.0,0.0,red
0,All Adults 15+ (1),All Adults (1),8,1234847954,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0022575863,0.0008333643,0.001424222,red
0,All Adults 15+ (1),All Adults (1),8,2000117820,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0021513532,9.68485e-05,0.0020545048,red
0,All Adults 15+ (1),All Adults (1),8,2000188605,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0022823005,0.0022823005,0.0,red
0,All Adults 15+ (1),All Adults (1),8,1234854006,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0,0.0,0.0,red
0,All Adults 15+ (1),All Adults (1),8,1234575965,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0214581412,0.0214581412,0.0,red
0,All Adults 15+ (1),All Adults (1),8,2000215965,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0121163498,7.05417e-05,0.0120458081,red
0,All Adults 15+ (1),All Adults (1),8,2000095215,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.1272046996,0.0047834025,0.1224212971,red
0,All Adults 15+ (1),All Adults (1),8,1234933088,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.001567557,0.001567557,0.0,red
0,All Adults 15+ (1),All Adults (1),8,1234853177,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0019368469,0.0019054187,3.14282e-05,red
0,All Adults 15+ (1),All Adults (1),8,1234855815,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0069497695,0.0005939041,0.0063558654,red
0,All Adults 15+ (1),All Adults (1),8,2000192635,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0012262439,1.51796e-05,0.0012110644,red
0,All Adults 15+ (1),All Adults (1),8,2000165724,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.000541056,0.000541056,0.0,red
0,All Adults 15+ (1),All Adults (1),8,1234855120,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0062102109,0.0060512241,0.0001589868,red
0,All Adults 15+ (1),All Adults (1),8,1234594021,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0093618044,0.0093618044,0.0,red
0,All Adults 15+ (1),All Adults (1),8,2000118301,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0010020144,0.0010020144,0.0,red
0,All Adults 15+ (1),All Adults (1),8,1234931447,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0006039139,0.0006039139,0.0,red
0,All Adults 15+ (1),All Adults (1),8,2000028103,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0167389514,0.0030083242,0.0137306272,red
0,All Adults 15+ (1),All Adults (1),8,1234933104,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0231369046,0.0001927023,0.0229442023,red
0,All Adults 15+ (1),All Adults (1),8,2000213949,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0020100075,2.3259e-05,0.0019867484,red
0,All Adults 15+ (1),All Adults (1),8,1234932066,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0006113507,0.0006113507,0.0,red
0,All Adults 15+ (1),All Adults (1),8,2000099457,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0050345459,0.0050345459,0.0,red
0,All Adults 15+ (1),All Adults (1),8,2000197684,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0083689784,0.0004042776,0.0079647008,red
0,All Adults 15+ (1),All Adults (1),8,2000212646,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0248248145,0.0038405294,0.0209842851,red
0,All Adults 15+ (1),All Adults (1),8,2000210822,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0052882723,0.0001944664,0.0050938058,red
0,All Adults 15+ (1),All Adults (1),8,1235257057,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0,0.0,0.0,red
0,All Adults 15+ (1),All Adults (1),8,2000113172,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0022359067,0.0004465868,0.0017893199,red
0,All Adults 15+ (1),All Adults (1),8,2000212688,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0023575524,0.0008632008,0.0014943515,red
0,All Adults 15+ (1),All Adults (1),8,1234932393,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0169214777,0.0169214777,0.0,red
0,All Adults 15+ (1),All Adults (1),8,1234853449,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0014119776,0.0004061121,0.0010058655,red
0,All Adults 15+ (1),All Adults (1),8,1234856186,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0005419354,0.0001928151,0.0003491203,red
0,All Adults 15+ (1),All Adults (1),8,2000115939,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0016048038,0.0016048038,0.0,red
0,All Adults 15+ (1),All Adults (1),8,1234931315,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0003753876,0.0003753876,0.0,red
0,All Adults 15+ (1),All Adults (1),8,2000134713,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.001615938,0.0003209923,0.0012949458,red
0,All Adults 15+ (1),All Adults (1),8,1234852945,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.002862084,0.0001017102,0.0027603738,red
0,All Adults 15+ (1),All Adults (1),8,1235257223,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0045456089,0.0045456089,0.0,red
0,All Adults 15+ (1),All Adults (1),8,1234856035,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.015857719,0.0038270681,0.0120306509,red
0,All Adults 15+ (1),All Adults (1),8,2000167125,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0012943231,0.0012943231,0.0,red
0,All Adults 15+ (1),All Adults (1),8,1235462694,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0448126863,0.0005165525,0.0442961338,red
0,All Adults 15+ (1),All Adults (1),8,1235201854,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0,0.0,0.0,red
0,All Adults 15+ (1),All Adults (1),8,1234853232,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.0047230084,0.0017121781,0.0030108303,red
0,All Adults 15+ (1),All Adults (1),8,1234931944,2022-08-01 00:00:00,2022-08-01 00:15:00,53948.905761444,0.011560928,0.0014711825,0.0100897454,red
